"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Mean Max Temp (°C)","Mean Max Temp Flag","Mean Min Temp (°C)","Mean Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Extr Max Temp (°C)","Extr Max Temp Flag","Extr Min Temp (°C)","Extr Min Temp Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow Grnd Last Day (cm)","Snow Grnd Last Day Flag","Dir of Max Gust (10's deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-01","1925","01","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-02","1925","02","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-03","1925","03","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-04","1925","04","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-05","1925","05","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-06","1925","06","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-07","1925","07","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-08","1925","08","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-09","1925","09","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-10","1925","10","","","","","","","","","","","","M","","M","","M","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-11","1925","11","","","","","","","","","","","37.6","","0.0","","37.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1925-12","1925","12","","","","","","","","","","","349.3","","0.0","","349.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-01","1926","01","","","","","","","","","","","195.8","","0.0","","195.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-02","1926","02","","","","","","","","","","","165.4","","0.0","T","165.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-03","1926","03","","","","","","","","","","","64.5","","0.0","","64.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-04","1926","04","","","","","","","","","","","70.1","","0.0","T","70.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-05","1926","05","","","","","","","","","","","121.4","","0.0","","121.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-06","1926","06","","","","","","","","","","","21.6","","0.0","","21.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-07","1926","07","","","","","","","","","","","9.9","","0.0","","9.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-08","1926","08","","","","","","","","","","","60.5","","0.0","","60.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-09","1926","09","","","","","","","","","","","93.2","","0.0","","93.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-10","1926","10","","","","","","","","","","","180.1","","0.0","","180.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-11","1926","11","","","","","","","","","","","215.6","","0.0","","215.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1926-12","1926","12","","","","","","","","","","","220.2","","0.0","","220.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-01","1927","01","","","","","","","","","","","210.8","","30.5","","241.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-02","1927","02","","","","","","","","","","","119.9","","0.0","T","119.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-03","1927","03","","","","","","","","","","","176.0","","0.8","","176.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-04","1927","04","","","","","","","","","","","45.0","","0.0","T","45.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-05","1927","05","","","","","","","","","","","116.8","","0.0","","116.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-06","1927","06","","","","","","","","","","","32.0","","0.0","","32.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-07","1927","07","","","","","","","","","","","22.1","","0.0","","22.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-08","1927","08","","","","","","","","","","","100.6","","0.0","","100.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-09","1927","09","","","","","","","","","","","81.8","","0.0","","81.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-10","1927","10","","","","","","","","","","","200.9","","0.0","","200.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-11","1927","11","","","","","","","","","","","210.6","","1.3","","211.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1927-12","1927","12","","","","","","","","","","","126.2","","34.3","","160.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-01","1928","01","","","","","","","","","","","242.1","","13.0","","255.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-02","1928","02","","","","","","","","","","","49.0","","0.0","","49.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-03","1928","03","","","","","","","","","","","189.5","","0.0","T","189.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-04","1928","04","","","","","","","","","","","100.8","","0.0","","100.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-05","1928","05","","","","","","","","","","","66.5","","0.0","","66.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-06","1928","06","","","","","","","","","","","55.1","","0.0","","55.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-07","1928","07","","","","","","","","","","","13.7","","0.0","","13.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-08","1928","08","","","","","","","","","","","6.1","","0.0","","6.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-09","1928","09","","","","","","","","","","","38.1","","0.0","","38.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-10","1928","10","","","","","","","","","","","198.1","","0.0","","198.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-11","1928","11","","","","","","","","","","","141.7","","0.0","","141.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1928-12","1928","12","","","","","","","","","","","138.9","","0.0","","138.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-01","1929","01","","","","","","","","","","","40.1","","32.3","","72.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-02","1929","02","","","","","","","","","","","45.7","","0.0","T","45.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-03","1929","03","","","","","","","","","","","119.4","","0.0","T","119.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-04","1929","04","","","","","","","","","","","121.2","","0.5","","121.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-05","1929","05","","","","","","","","","","","33.0","","0.0","","33.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-06","1929","06","","","","","","","","","","","74.9","","0.0","","74.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-07","1929","07","","","","","","","","","","","30.5","","0.0","","30.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-08","1929","08","","","","","","","","","","","31.2","","0.0","","31.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-09","1929","09","","","","","","","","","","","39.6","","0.0","","39.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-10","1929","10","","","","","","","","","","","102.1","","0.0","","102.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-11","1929","11","","","","","","","","","","","57.7","","0.0","","57.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1929-12","1929","12","","","","","","","","","","","208.0","","41.1","","249.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-01","1930","01","","","","","","","","","","","67.6","","1.3","","68.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-02","1930","02","","","","","","","","","","","265.4","","0.0","T","265.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-03","1930","03","","","","","","","","","","","89.7","","0.0","","89.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-04","1930","04","","","","","","","","","","","134.6","","0.0","","134.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-05","1930","05","","","","","","","","","","","69.3","","0.0","","69.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-06","1930","06","","","","","","","","","","","47.0","","0.0","","47.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-07","1930","07","","","","","","","","","","","2.8","","0.0","","2.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-08","1930","08","","","","","","","","","","","1.5","","0.0","","1.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-09","1930","09","","","","","","","","","","","73.7","","0.0","","73.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-10","1930","10","","","","","","","","","","","202.7","","0.0","","202.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-11","1930","11","","","","","","","","","","","64.3","","1.3","","65.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1930-12","1930","12","","","","","","","","","","","137.7","","0.0","T","137.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-01","1931","01","","","","","","","","","","","308.1","","0.0","","308.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-02","1931","02","","","","","","","","","","","133.1","","0.0","T","133.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-03","1931","03","","","","","","","","","","","176.0","","1.3","","177.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-04","1931","04","","","","","","","","","","","122.4","","0.0","","122.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-05","1931","05","","","","","","","","","","","37.6","","0.0","","37.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-06","1931","06","","","","","","","","","","","133.4","","0.0","","133.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-07","1931","07","","","","","","","","","","","9.1","","0.0","","9.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-08","1931","08","","","","","","","","","","","13.7","","0.0","","13.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-09","1931","09","","","","","","","","","","","187.5","","0.0","","187.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-10","1931","10","","","","","","","","","","","133.4","","0.0","","133.4","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-11","1931","11","","","","","","","","","","","231.9","","0.0","T","231.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1931-12","1931","12","","","","","","","","","","","335.8","","0.0","T","335.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-01","1932","01","","","","","","","","","","","211.6","","18.0","","229.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-02","1932","02","","","","","","","","","","","200.7","","0.0","T","200.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-03","1932","03","","","","","","","","","","","263.7","","0.0","T","263.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-04","1932","04","","","","","","","","","","","144.0","","0.0","","144.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-05","1932","05","","","","","","","","","","","35.1","","0.0","","35.1","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-06","1932","06","","","","","","","","","","","60.5","","0.0","","60.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-07","1932","07","","","","","","","","","","","141.2","","0.0","","141.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-08","1932","08","","","","","","","","","","","42.7","","0.0","","42.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-09","1932","09","","","","","","","","","","","71.9","","0.0","","71.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-10","1932","10","","","","","","","","","","","148.6","","0.0","","148.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-11","1932","11","","","","","","","","","","","280.9","","0.0","","280.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1932-12","1932","12","","","","","","","","","","","204.7","","0.0","T","204.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-01","1933","01","","","","","","","","","","","261.9","","12.4","","274.3","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-02","1933","02","","","","","","","","","","","195.3","","6.9","","202.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-03","1933","03","","","","","","","","","","","173.5","","0.0","","173.5","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-04","1933","04","","","","","","","","","","","22.6","","0.0","","22.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-05","1933","05","","","","","","","","","","","118.9","","0.0","","118.9","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-06","1933","06","","","","","","","","","","","58.7","","0.0","","58.7","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-07","1933","07","","","","","","","","","","","42.2","","0.0","","42.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-08","1933","08","","","","","","","","","","","35.6","","0.0","","35.6","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-09","1933","09","","","","","","","","","","","159.8","","0.0","","159.8","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-10","1933","10","","","","","","","","","","","221.2","","0.0","","221.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-11","1933","11","","","","","","","","","","","157.2","","0.0","","157.2","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1933-12","1933","12","","","","","","","","","","","345.2","","6.9","","352.0","","","","","","",""
"-123.12","49.30","VANCOUVER HARBOUR CS","1108446","1934-01","1934","01","","","","","","","","","","","339.9","","0.0","T","339.9","","","","","","",""
